,0
0,0.7511269999999985
1,3.267086000000001
2,-1.0673179999999984
3,13.818843999999999
4,5.982346
5,2.3719443000000004
6,4.083887999999999
7,-1.512801999999997
8,8.901754000000004
9,-2.6262100000000004
10,-2.5981264999999993
11,0.20666900000000155
12,4.573196000000003
13,9.570239999999998
14,-32.625614
15,3.512850000000004
16,-1.4824599999999997
17,-2.8366100000000003
18,-5.946983000000003
19,-7.2245729999999995
20,0.5047146000000002
21,3.3785420000000004
22,2.5850655
23,1.101038
24,1.5852570000000004
25,0.28702000000000005
26,1.7793859999999988
27,1.0119960000000017
28,0.5125542999999997
29,1.4965783000000004
30,-3.498094400000001
31,-0.6727460000000001
32,-2.034319
33,0.10829900000000059
34,3.0415520000000003
35,-0.30345399999999945
36,-1.4546464000000006
37,0.04386800000000157
38,-0.02052440000000022
39,-2.118607000000001
40,-6.507059
41,-4.460242000000001
42,-3.8347539999999984
43,-6.156907
44,1.1402050000000008
45,0.755782
46,-1.5861026999999996
47,3.757937
48,-0.18875069999999994
49,0.1619263000000002
50,-0.10074000000000183
51,16.318910000000002
52,14.141223999999998
53,5.688256000000003
54,10.099008
55,-1.283614
56,-30.681391762999993
57,-2.638717777777778
58,-17.905297777777776
59,-28.842517777777772
60,-17.489049963
61,-0.9751977777777796
62,19.725709000000002
63,-2.9260137000000004
64,16.03399
65,8.732963
66,-10.3977375
67,4.424259
68,-1.1110287000000003
69,4.1385794
70,-10.9076524
71,-4.23231
72,-2.8312825999999998
73,0.10816200000000009
74,-5.80515
75,-3.779968
76,2.8370255999999996
77,5.487527
78,0.5581664999999996
79,2.5177736
80,-7.051646
81,0.7667045999999997
82,-4.662829
83,2.5046739999999996
84,11.167680000000004
85,-22.92580848888889
86,4.03544371111111
87,-8.13756011111111
88,8.773470333333332
89,-7.745421333333331
90,8.354709555555555
91,0.8495947777777797
92,10.732132744444446
93,7.7100498888888875
94,2.330850333333329
95,1.108022
96,22.944743222222222
97,19.265424222222215
98,17.764226222222213
99,0.9965093
100,1.6081162
101,1.80200297
102,-0.15262399999999987
103,9.085343
104,-1.033174
105,1.1333521000000002
106,3.1699734
107,0.1640259999999989
108,6.0318817
109,1.8518264
110,5.961658
111,3.7951137
112,3.021375
113,-4.383210999999999
114,3.7954399999999997
115,7.893678699999999
116,2.764659
117,4.524737
118,2.1510270000000005
119,6.4505743
120,2.9698339999999996
121,2.8270300000000006
122,-8.460534000000003
123,3.1708599999999976
124,-0.2261953000000001
125,3.515267
126,0.7797850000000004
127,-1.0673699999999968
128,-0.7341530000000001
129,-0.4335450000000005
130,2.411472
131,4.214801000000001
132,0.9527479999999997
133,-6.61983
134,-2.871745999999998
135,9.069182000000001
136,-6.958954000000002
137,3.336545000000001
138,1.1146030000000025
139,3.5769454000000005
140,3.424423723
141,-2.6778188
142,-2.0530332999999996
143,9.739684
144,-0.21714225
145,-2.0016621000000003
146,6.2584681
147,-7.210029400000001
148,-0.5509290499999999
149,-1.2547762999999998
150,0.43336299999999994
151,2.9206383
152,1.2123260000000018
153,-7.606627
154,-0.8979594000000004
155,0.8945625000000001
156,-3.607353399999999
157,7.967919
158,6.7022324
159,-3.7886874500000003
160,0.2382200000000001
161,0.9483181
162,4.663805
163,0.7707820000000005
164,2.51174215
165,0.44620550000000003
166,-3.813060399999999
167,-3.1980619999999993
168,1.6585560000000001
169,5.9038784
170,3.2222809999999997
171,-0.8587790000000002
172,5.7578395
173,-4.386676
174,0.7615086
175,-2.903171399999999
176,-5.1639473
177,7.242098
178,-1.3330519999999995
179,-3.7921133000000014
180,3.530493
181,0.21932829999999992
182,-2.7087406000000005
183,0.5794039999999985
184,0.1329127000000001
185,3.2232836000000002
186,-2.1430537999999997
187,4.6782064000000005
188,5.1505309
189,-6.383385299999999
190,-2.258202999999999
191,-6.210875699999999
192,-1.0380769999999995
193,2.721285
194,-1.0238989999999983
195,10.547647300000001
196,1.9420130000000002
197,2.2720640000000003
198,-0.9447096999999998
199,-0.6777935999999998
200,-0.5852070000000014
201,1.7134495999999997
202,-6.685562999999998
203,4.684453000000001
204,5.7183394
205,-1.483927
206,-1.6876409999999993
207,-3.834099
208,2.080814
209,-2.1796439999999997
210,-1.3941003999999992
211,1.6723869999999996
212,-3.891881999999999
213,4.7615349999999985
214,-3.572866000000001
215,-1.6692029999999987
216,-1.7273679999999985
217,-0.5095349999999996
218,-4.6831277
219,0.5038949000000001
220,0.41301500000000013
