y true,y pred
4.967000000000001,7.23023
7.50075,11.536879
16.89963,15.965582
20.12907,33.038406
53.83403,58.341667
2.96412,6.779489
23.40675,21.24702
32.38307,39.321842
8.52363,7.1036987
14.77347,12.500795
16.89963,22.132189
44.08587,49.3036
97.67123,58.426872
28.97675,30.576456
20.12907,17.179996
35.83763,30.825998
29.54112,20.244257
3.46283,3.9563117
1.47603,4.6552925
3.96288,6.179023
6.48323,7.150499
8.011519999999999,8.915184
11.62443,10.849385
16.36608,16.875044
9.55187,9.760252
3.96288,4.5522027
4.46427,5.859841
10.58547,7.05202
9.03708,8.158458
12.14592,9.479972
12.66875,11.570356
1.47603,4.909813
7.50075,7.9160395
16.36608,14.303958
16.36608,9.677104
20.672,16.276667
16.36608,10.03215
5.97648,7.1075845
9.03708,7.559883
8.011519999999999,11.445146
7.50075,7.686705
41.70243,39.96329
102.663,122.16441
31.812,40.414234
20.12907,25.992935
0.0,11.770649
203.450201763,176.89131
28.77777777777778,27.478943
61.77777777777778,40.445255
98.856159963,80.47479
45.77777777777778,46.041496
-14.67,6.232757
-11.0,4.855481
-3.0,4.9115186
16.0,5.3049045
2.0,5.3089714
7.0,6.255668
3.0,7.718709
12.0,8.282603
7.0,4.3713303
6.0,5.758748
13.0,6.547258
5.0,7.3112473
2.0,8.052991
6.0,6.624161
5.0,8.014761
16.0,9.72709
7.0,8.886114
11.0,6.957766
6.0,9.566805
56.0,67.47546
28.88888888888889,5.591108
3.888888888888889,7.548369
21.11111111111111,12.279366
0.1166666666666671,9.663718
2.594444444444445,11.406483
12.37222222222222,13.559496
-4.444444444444445,5.1712804
-4.622222222222223,16.347385
26.97777777777778,46.170364
53.47777777777778,70.10707
-2.91588,-1.8517002
3.46283,3.311053
-1.46397,9.348299
-1.46397,-2.1542723
-1.46397,1.338197
-7.66848,-0.8621028
-2.91588,-0.13828051
14.77347,10.319181
0.49067,3.3582306
3.96288,8.63977
3.46283,10.058695
2.96412,6.191161
-4.833,1.3380088
5.47107,7.782293
36.41808,28.33287
36.41808,40.772457
1.97072,1.4637032
2.96412,5.871846
18.50832,19.037378
3.46283,2.449627
10.58547,9.599108
18.50832,20.483881
11.10428,16.348515
36.99987,36.645363
50.13827,41.880817
34.68075,27.600428
26.175,29.128122
20.12907,19.430805
-4.35573,-1.1170892
-3.39717,0.07417746
3.46283,1.0929189
5.97648,4.8650436
-0.97732,10.080188
0.0,-0.63102096
2.46675,0.2931942
-3.87712,2.9181979
13.19292,6.8368735
0.98268,0.07560829
2.96412,1.8731893
3.46283,4.360865
-0.48933,2.4595153
6.991319999999999,9.038403
17.97075,11.589197
5.47107,4.85271
1.97072,3.0811667
9.03708,6.2812715
-2.43325,4.8439136
0.98268,0.29065362
0.98268,0.9808734
0.49067,3.9873416
10.068,9.920019
-1.94928,-0.2093291
0.98268,0.3947916
-0.48933,0.46107465
-3.39717,1.5365694
5.47107,4.39114
5.47107,11.149585
17.97075,13.772959
6.48323,7.067205
6.991319999999999,3.4764538
12.14592,6.38972
0.49067,6.9524117
4.967000000000001,1.5689737
2.46675,3.3101227
13.19292,13.857341
1.47603,1.6125536
5.97648,4.577531
2.96412,8.276853
-2.91588,1.8786653
9.55187,3.3833146
6.991319999999999,5.4041185
10.068,3.3575912
12.66875,15.943451
9.55187,7.9900255
6.48323,8.5480175
7.50075,9.254819
6.48323,6.1027822
2.96412,2.582926
4.967000000000001,4.504758
3.96288,5.8878894
16.89963,9.955591
5.47107,3.9770901
9.03708,7.1952524
15.303,11.140892
0.98268,2.838755
7.50075,5.1216364
9.03708,7.4227104
3.96288,5.992831
17.43452,13.919289
13.19292,9.692457
8.011519999999999,6.476322
11.62443,11.397466
11.62443,6.944772
1.47603,2.2391243
6.991319999999999,5.394818
17.43452,15.750966
-0.97732,2.1534193
2.46675,3.7401328
5.97648,6.6568785
2.96412,2.5800223
-0.97732,4.8894167
2.46675,7.040914
6.48323,5.6597066
15.303,14.220508
5.47107,9.684184
20.12907,11.584532
12.14592,11.744406
8.52363,7.4256487
-3.39717,1.9928777
