,0
0,2.2632299999999983
1,4.036129000000001
2,-0.9340479999999989
3,12.909336000000003
4,4.507637000000003
5,3.815369
6,-2.1597299999999997
7,6.938772
8,-1.419931300000001
9,-2.2726749999999996
10,5.232559000000002
11,5.217730000000003
12,-39.24435799999999
13,1.5997060000000012
14,-2.9490739999999995
15,-5.011631999999999
16,-9.296862999999998
17,0.49348170000000025
18,3.1792625
19,2.2161429999999998
20,0.6672690000000001
21,0.9036640000000009
22,-0.7750450000000004
23,0.5089639999999989
24,0.2083820000000003
25,0.5893226999999994
26,1.3955710000000003
27,-3.533450000000001
28,-0.878622
29,-2.665948
30,-1.098393999999999
31,3.433783
32,0.4152895000000001
33,-2.0621220000000005
34,-6.688976
35,-4.395333000000001
36,-6.3339300000000005
37,1.1311045000000002
38,-1.4771969999999994
39,3.4336260000000003
40,0.18595499999999987
41,-1.739139999999999
42,19.501410000000007
43,8.602234
44,5.8638650000000005
45,11.770649
46,-26.55889176299999
47,-1.2988347777777776
48,-21.332522777777776
49,-18.381369962999997
50,0.26371822222222363
51,20.902757
52,15.855481000000001
53,7.9115186
54,-10.6950955
55,3.3089714
56,-0.744332
57,4.718709
58,-3.717397
59,-2.6286696999999997
60,-0.24125200000000024
61,-6.452742
62,2.3112473
63,6.0529910000000005
64,0.624161
65,3.014761
66,-6.2729099999999995
67,1.8861139999999992
68,-4.042234
69,3.5668050000000004
70,11.475459999999998
71,-23.297780888888887
72,3.6594801111111113
73,-8.831745111111111
74,9.547051333333332
75,8.812038555555555
76,1.1872737777777793
77,9.615724844444443
78,20.969607222222223
79,19.192586222222218
80,16.62929222222221
81,1.0641798
82,-0.15177700000000005
83,10.812269
84,-0.6903023000000001
85,2.802167
86,6.8063772
87,2.77759949
88,-4.454288999999999
89,2.8675606
90,4.67689
91,6.595865
92,3.2270410000000003
93,6.1710088
94,2.311223
95,-8.085210000000004
96,4.3543769999999995
97,-0.5070167999999999
98,2.907726
99,0.5290579999999991
100,-1.0132029999999999
101,-0.9863620000000015
102,1.975560999999999
103,5.244235
104,-0.35450699999999813
105,-8.257452999999998
106,-7.0803220000000024
107,2.9531220000000005
108,-0.6982649999999992
109,3.2386408000000007
110,3.47134746
111,-2.3699111
112,-1.1114363999999997
113,11.057508
114,-0.63102096
115,-2.1735558000000004
116,6.795317900000001
117,-6.356046500000001
118,-0.90707171
119,-1.0909307
120,0.8980350000000006
121,2.9488453
122,2.0470830000000015
123,-6.3815529999999985
124,-0.61836
125,1.1104466999999998
126,-2.7558084999999997
127,7.2771636
128,-0.6920263799999999
129,-0.0018065999999999915
130,3.4966716
131,-0.1479809999999997
132,1.7399509
