y true,average predicted values,error bar values
4.967000000000001,6.150975785,0.6000822290976345
7.500749999999999,11.228465,0.7473029744321101
16.89963,16.23950515,0.9879933942141342
20.12907,33.7821577,1.9904918881451636
53.83403,59.98564025,4.0173748118082075
2.96412,5.9095767299999995,0.7575819283239379
23.40675,22.55750285,1.7575626286863792
32.38307,40.9177821,2.927000844286843
8.52363,6.434398590000001,0.8032309262830669
14.77347,12.6854222,0.899901663839626
16.89963,22.8696823,2.0489900375341814
44.08587,53.40261875,5.904629438965212
97.67123,65.55306355,4.243953022461407
28.97675,33.0122439,3.577832931380374
20.12907,18.495046,1.3264644837801371
35.83763,31.906500299999998,1.409317850711139
29.54112,21.7520591,1.4458758867841253
3.4628299999999994,3.668164875,0.418347141469636
1.47603,4.55755553,0.4099740323379327
3.9628799999999997,6.201044065,0.31015130274902974
6.483230000000001,7.291718815,0.436514999702193
8.011519999999999,8.982228975,0.4374495123731267
11.62443,10.9513543,0.46173385723548954
16.36608,16.6377983,0.6020147393346952
9.55187,9.739148400000001,0.39923178237148865
3.9628799999999997,4.2286616100000005,0.39722797417694117
4.46427,5.737888509999999,0.3878664293760553
10.58547,7.15025449,0.4435186047230689
9.03708,8.317197035,0.5128278069458146
12.14592,9.772324325,0.5676085777720205
12.66875,11.9177766,0.5999667411678932
1.47603,4.3972763299999995,0.45564512540660534
7.500749999999999,7.403093005,0.6240680650945573
16.36608,13.4104633,0.6411016785176248
16.36608,9.399880125,0.4520000222289197
20.672,15.45152675,0.6531226709839005
16.36608,9.639030649999999,0.5489037877880137
5.97648,7.15664886,0.5081437262522231
9.03708,7.46865835,0.5126557568009413
8.011519999999999,11.322943425,0.6363285352367388
7.500749999999999,7.52385826,0.5329788465234504
41.70243,39.22257555,1.8991504451576684
102.66299999999998,116.6801105,3.7262014261015612
31.812,41.3281445,2.2838858869404213
20.12907,24.9933732,1.4212322058429512
0.0,10.617531975,0.8968288973524624
203.450201763,178.0469345,6.479027247469919
28.77777777777778,25.3622979,1.8317699393287106
61.777777777777786,43.6302721,2.32297300231449
98.856159963,79.6352397,1.8286638808417395
45.77777777777778,45.549596050000005,2.024596256305686
-14.669999999999998,6.460094979999999,1.2908810667557262
-11.0,5.50606437,0.6043112858926065
-3.0,5.99933962,0.4874527583135132
16.0,6.24081765,0.6149993295935614
2.0,6.47742647,0.6573139827422227
7.0,6.32399532,0.47241857738599213
3.0,7.53374098,0.5942151940280298
12.0,8.09088268,0.649464876841609
7.0,4.45276982,0.4719360751296678
6.0,6.199848155,0.5022875761983772
13.0,7.1751784700000005,0.6159829893530043
5.0,7.74021633,0.6643562906290664
2.0,7.87322889,0.4430991444158994
6.0,6.738744315,0.4423185633530579
5.0,7.89871533,0.5766180439742703
16.0,9.30414065,0.7026565613962391
7.0,8.210357949999999,0.6052543629128994
11.0,6.657456125,0.4913502803561746
6.0,8.876683425,0.5725966314253333
56.0,66.6859559,1.5951539555346637
28.888888888888893,6.607495224999999,1.1616749528068084
3.8888888888888884,8.03486308,1.1317117136440566
21.11111111111111,13.1411367,1.1808678534288979
0.1166666666666671,10.009220725,0.8991005603667928
2.594444444444445,11.558755125000001,0.9235668697238423
12.37222222222222,13.511072200000001,1.0215489174403045
-4.444444444444445,4.605612004999999,1.308102865183093
-4.622222222222223,16.53736315,2.723905930739924
26.97777777777778,44.34457565,4.70528362537601
53.47777777777778,69.532769,6.216474293628894
-2.91588,-2.05717714,0.6867410260578387
3.4628299999999994,2.748371342,1.6346902384097914
-1.46397,7.27748508,1.4859196355075919
-1.46397,-2.38678317,1.080675903232073
-1.46397,0.51868471175,1.0009158565345764
-7.66848,-1.8396292605,0.8876276395767456
-2.91588,1.1830767955000001,1.075764640800533
14.77347,10.7736808,1.3011031144879208
0.49067,4.048516805,0.9813244382285565
3.9628799999999997,6.0653131899999995,1.6991000364412865
3.4628299999999994,7.57686314,1.3675060363774574
2.96412,4.52466509,1.2215643084253431
-4.833,1.244316744,0.8615425171271788
5.47107,7.5636011850000004,0.9049904496936342
36.41808,27.795844549999998,1.3588183201219346
36.41808,39.93478395,1.8424975871077403
1.97072,1.8245995369999999,0.5584972466940681
2.96412,6.092552285,0.6287745035326248
18.50832,18.41163665,0.974369188951081
3.4628299999999994,3.0156886149999997,0.41059144802493736
10.58547,9.850757849999999,0.6068506008408254
18.50832,20.23901625,0.9969290657461359
11.10428,16.102380825,1.200498763034844
36.99987,37.554273699999996,1.5065445704182623
50.13827,44.2634286,1.8697347137301081
34.68075,26.8451388,1.7100844932068668
26.175,27.54138135,1.8914691666299275
20.12907,19.50531935,1.74786638944759
-4.35573,-0.9856117154999999,0.5887688523250905
-3.39717,0.0956684448,0.499882314611067
3.4628299999999994,1.0094749475,0.5665568669528411
5.97648,4.441844685,0.9761761185884049
-0.97732,8.750233065,1.1953383569434346
0.0,-0.2762408655,0.6688934450618647
2.46675,0.5609142672,0.49990082020517945
-3.87712,2.585558125,0.494765746989518
13.19292,6.374403675,0.9557248209091392
0.98268,0.41297288050000003,0.8204665749973501
2.96412,1.8584215350000002,0.7940275657805864
3.4628299999999994,4.078866505,0.9377691585775448
-0.48933,2.1181396384999998,0.7727503866357561
