temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.66454796224655,11.16574135531118,F,24.88888888888889,1,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,515.9005,YES,NO,PWR,14.653495857193544
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.66454796224655,11.16574135531118,F,19.27777777777778,2,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,517.4515,YES,NO,PWR,14.653495857193544
287.0,0.03,0.56,1.4,0.005,0.31,0.13,18.66454796224655,11.16574135531118,W,4.388888888888889,5,Plotter,AD1,W1,AD1-W1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,516.245,YES,NO,PWR,18.154229897750085
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.65988071276059,P,12.22222222222222,13,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,496,YES,NO,PWR,34.20325358019912
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,19.01283722470517,10.96625591238198,SRM,39.44444444444444,16,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,,NO,NO,PWR,48.95290298350793
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,19.16435285578444,10.93719246682784,SRM,41.66666666666666,17,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,,NO,NO,PWR,54.03226249022344
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,18.63144376901317,10.65988071276059,SRM,27.77777777777778,18,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,,NO,NO,PWR,39.44832353119526
292.2222222222222,0.27,0.58,1.49,0.016,0.51,0.09,19.16435285578444,10.93719246682784,W,96.66666666666667,21,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,466,YES,NO,PWR,86.5799016130936
290.0,0.045,0.083,1.33,0.004,0.14,0.13,18.4814426285023,10.75474931695326,W,7.333333333333334,26,Plotter,AN2,W1,AN2-W1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-19.88888888888889,510,YES,YES,PWR,13.393110817116348
293.3333333333333,0.04,0.67,1.44,0.015,0.48,0.066,18.58883172559421,11.02556712943192,W,9.666666666666668,34,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-32.27777777777778,502,YES,YES,PWR,14.958661611643722
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.58883172559421,11.01814311135271,F,-0.05555555555555358,40,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-30.77777777777778,476,YES,YES,PWR,13.816274783070805
292.0,0.04,0.85,0.75,0.01,0.32,0.0,19.13353890837022,11.01689929072727,F,18.0,51,Plotter,BOR,F2,BOR-F2,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,21.923141658910165
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.17609125905568,10.80169488914176,P,-13.88888888888889,54,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,1.5e+18,63342454646.80247,,low,,,NO,NO,BWR,12.356240297303309
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.35602585719312,10.92145439849302,P,58.33333333333334,58,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,2.27e+19,83455391438.87389,,low,,,NO,NO,BWR,34.788841197168516
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.79239168949825,10.7372825817956,P,73.38888888888889,67,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,6.2e+18,54611308416.48345,,low,-7.833333333333333,442,YES,YES,PWR,53.02039567365218
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,18.78532983501077,11.15618945958039,W,3.222222222222221,82,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,6.1e+18,143281282297.0103,,low,-39.88888888888889,507,YES,YES,PWR,23.48885620725909
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,19.74663419893758,11.10107957837157,W,13.0,85,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,5.58e+19,126205876797.0088,,low,-39.88888888888889,507,YES,YES,PWR,69.02982530376669
289.4444444444445,0.05,0.73,0.69,0.01,0.27,0.21,19.17318626841227,10.920796602584,F,30.33333333333334,91,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,1.49e+19,83329082990.8452,,low,-57.27777777777778,479,YES,YES,PWR,24.668192836525208
293.3333333333333,0.07,0.65,1.18,0.005,0.23,0.18,18.6085260335772,11.03417246524929,F,-2.666666666666671,96,Plotter,BY2,F1,BY2-F1,USA Surveillance,USA,4.06e+18,108186349121.0792,,low,-36.16666666666666,441,YES,YES,PWR,11.62035351979612
293.3333333333333,0.07,0.65,1.18,0.005,0.23,0.18,18.6085260335772,11.03417246524929,F,11.33333333333333,99,Plotter,BY2,F1,BY2-F1,USA Surveillance,USA,4.06e+18,108186349121.0792,,low,-43.88888888888889,445,YES,YES,PWR,11.62035351979612
