temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.64196959770206,11.16089175772712,F,38.61111111111111,3,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,515.9005,YES,NO,PWR,45.3372231896374
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.64196959770206,11.16089175772712,F,12.83333333333333,4,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,517.4515,YES,NO,PWR,45.3372231896374
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.86153441085904,10.38959995032397,P,10.0,7,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,496,YES,NO,PWR,25.9845759386402
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.86153441085904,10.38959995032397,P,24.44444444444444,8,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,495,YES,NO,PWR,25.9845759386402
292.2222222222222,0.27,0.58,1.49,0.016,0.51,0.09,19.01283722470517,10.96625591238198,W,80.55555555555556,20,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,466,YES,NO,PWR,77.4551052777371
290.0,0.174,0.665,1.465,0.01,0.186,0.219,19.3324384599156,10.6380089093933,SRM,74.44444444444444,25,Plotter,AN2,SRM1,AN2-SRM1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,,,NO,NO,PWR,61.933698015457765
290.0,0.045,0.083,1.33,0.004,0.14,0.13,19.3324384599156,10.6380089093933,W,8.944444444444445,27,Plotter,AN2,W1,AN2-W1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,-19.88888888888889,510,YES,YES,PWR,37.17250966281233
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.58883172559421,11.02556712943192,F,3.111111111111107,28,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-59.94444444444444,447,YES,YES,PWR,11.137060091674408
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.8846899738444,F,18.38888888888889,42,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-30.77777777777778,476,YES,YES,PWR,29.940773707737097
292.0,0.04,0.85,0.75,0.01,0.32,0.0,18.987219229908,11.21443413178826,F,17.0,50,Plotter,BOR,F2,BOR-F2,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,18.4439880783698
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,18.85125834871907,10.87808244817499,W,78.33333333333333,60,Plotter,BRP,W1,BRP-W1,USA Surveillance,USA,7.1e+18,75523559095.58943,,low,,,NO,NO,BWR,36.958550085485456
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,19.35602585719312,10.92145439849302,W,68.33333333333333,61,Plotter,BRP,W1,BRP-W1,USA Surveillance,USA,2.27e+19,83455391438.87389,,low,,,NO,NO,BWR,49.94293226153768
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.97954837470409,10.70988975612658,P,82.05555555555556,64,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,9.54e+18,51273121275.44308,,low,-19.33333333333333,,NO,YES,PWR,58.32496589200735
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,18.79239168949825,10.7372825817956,W,91.61111111111111,71,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,6.2e+18,54611308416.48345,,low,-54.72222222222222,461,YES,YES,PWR,77.84617174390641
