temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
289.4444444444445,0.07,0.65,1.18,0.005,0.23,0.18,19.08278537031645,10.91466188281497,F,17.83333333333333,100,Plotter,BY2,F1,BY2-F1,USA Surveillance,USA,1.21e+19,82160274733.09454,,low,-43.88888888888889,445,YES,YES,PWR,21.118723715649864
294.4444444444445,0.09,0.845,0.725,0.008,0.292,0.204,19.36361197989214,10.89678965896313,F,25.9,110,Plotter,CB1,F1,CB1-F1,USA Surveillance,USA,2.31e+19,78847814297.62776,,low,,459,YES,NO,PWR,39.75889486435432
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,19.35218251811136,10.88770393995589,P,22.79444444444444,116,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,2.25e+19,77215402557.86832,,low,,479,YES,NO,PWR,38.433869043573296
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,18.51851393987789,11.08520888169895,P,17.22222222222222,117,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,3.3e+18,121677108774.9106,,low,,462,YES,NO,PWR,17.60812995026687
294.4444444444445,0.042,0.153,1.163,0.008,0.133,0.14,18.51851393987789,11.08520888169895,W,-18.33333333333333,120,Plotter,CB2,W1,CB2-W1,USA Surveillance,USA,3.3e+18,121677108774.9106,,low,,510,YES,NO,PWR,12.408016499567848
286.6666666666667,0.12,0.64,1.29,0.011,0.24,0.26,19.34242268082221,10.4182449074479,P,54.77777777777778,126,Plotter,CC1,P1,CC1-P1,USA Surveillance,USA,2.2e+19,26196598709.8318,,low,-14.33333333333333,487,YES,YES,PWR,58.19206329494096
287.2222222222222,0.18,0.16,1.05,0.014,0.2,0.15,18.69897000433602,10.72159690180681,W,28.0,129,Plotter,CC1,W1,CC1-W1,USA Surveillance,USA,5e+18,52674073062.73187,,low,-51.83333333333333,515,YES,YES,PWR,38.13579026583047
287.7777777777778,0.133,0.66,1.21,0.005,0.205,0.208,18.91645394854993,10.7520663505966,P,45.0,132,Plotter,CC2,P1,CC2-P1,USA Surveillance,USA,8.25e+18,56502329128.7382,,low,,438,YES,NO,PWR,42.93778320313615
287.2222222222222,0.133,0.66,1.21,0.005,0.205,0.208,19.29003461136252,10.74356380982559,P,60.0,133,Plotter,CC2,P1,CC2-P1,USA Surveillance,USA,1.95e+19,55406894595.28758,,low,,438,YES,NO,PWR,56.3821337043106
287.7777777777778,0.21,0.06,1.167,0.013,0.143,0.115,18.91645394854993,10.7520663505966,W,37.22222222222222,137,Plotter,CC2,W1,CC2-W1,USA Surveillance,USA,8.25e+18,56502329128.7382,,low,,519,YES,NO,PWR,44.98907960009987
