temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
287.0,0.03,0.56,1.4,0.005,0.31,0.13,19.64196959770206,11.16089175772712,W,14.66666666666667,6,Plotter,AD1,W1,AD1-W1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,516.245,YES,NO,PWR,50.86316306534054
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.01283722470517,10.96625591238198,P,39.44444444444444,11,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,495,YES,NO,PWR,46.26271796022316
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.65988071276059,P,-2.777777777777778,14,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,495,YES,NO,PWR,37.76549742777846
291.1111111111111,0.27,0.58,1.49,0.016,0.51,0.09,17.86153441085904,10.38959995032397,W,55.55555555555556,19,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,466,YES,NO,PWR,56.09456055697322
290.0,0.096,0.58,1.4,0.009,0.21,0.22,19.3324384599156,10.6380089093933,P,29.38888888888889,24,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,-9.5,467,YES,YES,PWR,49.171903955877745
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.9063211256536,F,20.61111111111111,33,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-44.27777777777778,451,YES,YES,PWR,29.320772046713433
290.0,0.04,0.67,1.44,0.015,0.48,0.066,19.29666519026153,10.9063211256536,W,27.22222222222222,36,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-32.27777777777778,502,YES,YES,PWR,38.323719495266346
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.06069784035361,10.93452537682551,W,14.5,44,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-28.44444444444444,503,YES,YES,PWR,28.11292370098158
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.36172783601759,11.98733146610367,P,37.22222222222222,55,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,2.3e+19,971250971250.9712,,low,,,NO,NO,BWR,42.715827283291084
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.85125834871907,10.87808244817499,P,31.11111111111111,57,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,7.1e+18,75523559095.58943,,low,,,NO,NO,BWR,27.6393819344389
