temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.01283722470517,10.96625591238198,P,26.11111111111111,9,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,496,YES,NO,PWR,46.33543982154559
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,P,29.44444444444444,10,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,496,YES,NO,PWR,50.89495590415183
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,P,24.44444444444444,12,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,495,YES,NO,PWR,50.89495590415183
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.4814426285023,10.75474931695326,P,13.05555555555556,22,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-17.5,467,YES,YES,PWR,26.267760999990713
289.4444444444445,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.93591079923121,F,21.05555555555556,29,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-59.94444444444444,447,YES,YES,PWR,23.450297496979573
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.9063211256536,F,13.33333333333333,30,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-59.94444444444444,447,YES,YES,PWR,30.110948582488803
289.4444444444445,0.04,0.67,1.44,0.015,0.48,0.066,19.06818586174616,10.93591079923121,W,16.55555555555556,35,Plotter,BD1,W1,BD1-W1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-32.27777777777778,502,YES,YES,PWR,29.370227541226026
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.58883172559421,11.01814311135271,F,-5.333333333333332,37,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-29.38888888888889,476,YES,YES,PWR,14.539837516449037
275.5555555555555,0.14,0.55,1.35,0.007,0.19,0.2,17.18184358794477,8.726273376495698,P,15.0,46,Plotter,BF2,P1,BF2-P1,USA Surveillance,USA,1.52e+17,532443312.3018225,,low,,,NO,NO,BWR,29.178965605735787
292.0,0.04,0.86,0.71,0.011,0.2,0.0,18.987219229908,11.21443413178826,F,9.0,48,Plotter,BOR,F1,BOR-F1,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,19.368668890617016
292.0,0.09,0.05,1.98,0.011,0.19,0.0,19.13353890837022,11.01689929072727,W,40.0,53,Plotter,BOR,W1,BOR-W1,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,39.611447396337574
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,20.02938377768521,12.21086757144151,P,83.88888888888889,56,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,1.07e+20,1625053155944.353,,high,,,NO,NO,BWR,77.35182589879834
