temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.65988071276059,P,-2.777777777777778,14,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,495,YES,NO,PWR,34.73175379726161
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,19.01283722470517,10.96625591238198,SRM,39.44444444444444,16,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,,NO,NO,PWR,56.695085246159756
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.9063211256536,F,20.61111111111111,33,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-44.27777777777778,451,YES,YES,PWR,21.821365139905794
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,F,18.77777777777778,41,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-30.77777777777778,476,YES,YES,PWR,26.324557683479348
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,19.31597034545692,10.8846899738444,W,13.16666666666666,45,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-28.44444444444444,503,YES,YES,PWR,28.54931467419065
292.0,0.04,0.86,0.71,0.011,0.2,0.0,19.13353890837022,11.01689929072727,F,12.0,49,Plotter,BOR,F1,BOR-F1,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,17.381814029296038
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.36172783601759,11.98733146610367,P,37.22222222222222,55,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,2.3e+19,971250971250.9712,,low,,,NO,NO,BWR,33.953507842680224
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.85125834871907,10.87808244817499,P,31.11111111111111,57,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,7.1e+18,75523559095.58943,,low,,,NO,NO,BWR,21.40041242289659
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.35602585719312,10.92145439849302,P,58.33333333333334,58,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,2.27e+19,83455391438.87389,,low,,,NO,NO,BWR,33.77225235073534
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.97954837470409,10.70988975612658,P,82.05555555555556,64,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,9.54e+18,51273121275.44308,,low,-19.33333333333333,,NO,YES,PWR,65.30603627221848
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,19.32221929473392,10.66807665033349,P,78.72222222222221,65,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,2.1e+19,46566827388.74519,,low,-19.33333333333333,,NO,YES,PWR,81.78202961803947
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.79239168949825,10.7372825817956,P,73.38888888888889,67,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,6.2e+18,54611308416.48345,,low,-7.833333333333333,442,YES,YES,PWR,57.75104588239198
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.56584781867352,11.07360498124054,P,39.88888888888889,76,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,3.68e+19,118469070558.6332,,low,2.000000000000001,492,YES,YES,PWR,40.04134557369207
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,18.78532983501077,11.15618945958039,P,10.11111111111111,77,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,6.1e+18,143281282297.0103,,low,4.111111111111111,498,YES,YES,PWR,16.72210288838138
289.4444444444445,0.026,0.71,1.48,0.011,0.57,0.08,19.17318626841227,10.920796602584,W,22.27777777777778,94,Plotter,BY1,W1,BY1-W1,USA Surveillance,USA,1.49e+19,83329082990.8452,,low,-34.72222222222222,458,YES,YES,PWR,21.115606853932068
