temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
287.0,0.03,0.56,1.4,0.005,0.31,0.13,18.66454796224655,11.16574135531118,W,4.388888888888889,5,Plotter,AD1,W1,AD1-W1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,516.245,YES,NO,PWR,9.763233018475892
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.01283722470517,10.96625591238198,P,26.11111111111111,9,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,496,YES,NO,PWR,45.89459881571792
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,18.63144376901317,10.65988071276059,SRM,27.77777777777778,18,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,,NO,NO,PWR,45.439660061469674
291.1111111111111,0.27,0.58,1.49,0.016,0.51,0.09,17.86153441085904,10.38959995032397,W,55.55555555555556,19,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,466,YES,NO,PWR,39.77348820979911
292.2222222222222,0.27,0.58,1.49,0.016,0.51,0.09,19.16435285578444,10.93719246682784,W,96.66666666666667,21,Plotter,AN1,W1,AN1-W1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,466,YES,NO,PWR,94.18386186873552
290.0,0.096,0.58,1.4,0.009,0.21,0.22,19.3324384599156,10.6380089093933,P,29.38888888888889,24,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,-9.5,467,YES,YES,PWR,42.55546894298211
290.0,0.045,0.083,1.33,0.004,0.14,0.13,19.3324384599156,10.6380089093933,W,8.944444444444445,27,Plotter,AN2,W1,AN2-W1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,-19.88888888888889,510,YES,YES,PWR,22.66726145569265
289.4444444444445,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.93591079923121,F,21.05555555555556,29,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-59.94444444444444,447,YES,YES,PWR,15.58256914415882
290.0,0.03,0.73,1.33,0.007,0.28,0.2,19.29666519026153,10.9063211256536,F,13.33333333333333,30,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.98e+19,80597417365.66609,,low,-59.94444444444444,447,YES,YES,PWR,20.88591357598321
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.06069784035361,10.93452537682551,F,-5.333333333333332,38,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,1.15e+19,86005332031.43697,,low,-29.38888888888889,476,YES,YES,PWR,25.77021609341641
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.8846899738444,F,2.555555555555557,39,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-29.38888888888889,476,YES,YES,PWR,33.68523179537048
288.8888888888889,0.04,0.64,1.45,0.011,0.53,0.069,18.58883172559421,11.01814311135271,W,-0.4444444444444464,43,Plotter,BD2,W1,BD2-W1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-28.44444444444444,503,YES,YES,PWR,10.906263471075022
275.5555555555555,0.14,0.55,1.35,0.007,0.19,0.2,17.18184358794477,8.726273376495698,P,15.0,46,Plotter,BF2,P1,BF2-P1,USA Surveillance,USA,1.52e+17,532443312.3018225,,low,,,NO,NO,BWR,9.746353465974654
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.48000694295715,10.90201908997416,P,71.05555555555556,62,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,3.02e+18,79802976492.47421,,low,-19.33333333333333,,NO,YES,PWR,48.43613952586641
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,19.32221929473392,10.66807665033349,W,99.16666666666666,73,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,2.1e+19,46566827388.74519,,low,-54.72222222222222,461,YES,YES,PWR,114.49602718792994
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,18.78532983501077,11.15618945958039,P,13.33333333333333,74,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,6.1e+18,143281282297.0103,,low,2.000000000000001,492,YES,YES,PWR,15.698115310622217
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.56584781867352,11.07360498124054,P,35.44444444444444,79,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,3.68e+19,118469070558.6332,,low,4.111111111111111,498,YES,YES,PWR,37.714955215788244
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,18.78532983501077,11.15618945958039,W,3.222222222222221,82,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,6.1e+18,143281282297.0103,,low,-39.88888888888889,507,YES,YES,PWR,17.403182589375344
292.2222222222222,0.05,0.73,0.69,0.01,0.27,0.21,18.61172330800734,11.04103469376585,F,15.94444444444444,87,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,4.09e+18,109909363740.3366,,low,-66.5,497,YES,YES,PWR,9.809944500880768
