temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
287.0,0.04,0.74,0.6,0.012,0.23,0.21,18.66454796224655,11.16574135531118,F,19.27777777777778,2,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.619e+18,146467529173.0086,,low,,517.4515,YES,NO,PWR,8.750981273085587
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.64196959770206,11.16089175772712,F,38.61111111111111,3,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,515.9005,YES,NO,PWR,27.88716758603117
287.0,0.04,0.74,0.6,0.012,0.23,0.21,19.64196959770206,11.16089175772712,F,12.83333333333333,4,Plotter,AD1,F1,AD1-F1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,517.4515,YES,NO,PWR,27.88716758603117
287.0,0.03,0.56,1.4,0.005,0.31,0.13,19.64196959770206,11.16089175772712,W,14.66666666666667,6,Plotter,AD1,W1,AD1-W1,Brazil Surveillance,BRAZIL,4.385e+19,144841081092.508,,low,,516.245,YES,NO,PWR,38.156571399436515
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.01283722470517,10.96625591238198,P,39.44444444444444,11,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.03e+19,92524322218.9165,,low,,495,YES,NO,PWR,45.96906982438284
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,P,24.44444444444444,12,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,495,YES,NO,PWR,50.849733263837386
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,18.63144376901317,10.65988071276059,P,12.22222222222222,13,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,4.28e+18,45696265889.06142,,low,,496,YES,NO,PWR,35.67179433912197
291.1111111111111,0.17,0.64,1.478,0.011,0.225,0.217,17.86153441085904,10.38959995032397,SRM,4.444444444444445,15,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,,NO,NO,PWR,26.18662563173256
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.4814426285023,10.75474931695326,P,13.05555555555556,22,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-17.5,467,YES,YES,PWR,21.601308689175028
290.0,0.096,0.58,1.4,0.009,0.21,0.22,18.4814426285023,10.75474931695326,P,18.55555555555555,23,Plotter,AN2,P1,AN2-P1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-9.5,467,YES,YES,PWR,21.601308689175028
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.58883172559421,11.02556712943192,F,3.111111111111107,28,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-59.94444444444444,447,YES,YES,PWR,7.933679839132502
293.3333333333333,0.03,0.73,1.33,0.007,0.28,0.2,18.58883172559421,11.02556712943192,F,-8.777777777777779,31,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,3.88e+18,106063786980.1781,,low,-44.27777777777778,451,YES,YES,PWR,7.933679839132502
289.4444444444445,0.03,0.73,1.33,0.007,0.28,0.2,19.06818586174616,10.93591079923121,F,16.27777777777778,32,Plotter,BD1,F1,BD1-F1,USA Surveillance,USA,1.17e+19,86280131676.7548,,low,-44.27777777777778,451,YES,YES,PWR,16.147956693360474
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.58883172559421,11.01814311135271,F,-5.333333333333332,37,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-29.38888888888889,476,YES,YES,PWR,15.646321067536006
292.0,0.04,0.85,0.75,0.01,0.32,0.0,18.987219229908,11.21443413178826,F,17.0,50,Plotter,BOR,F2,BOR-F2,Netherlands Surveillance,NETHERLANDS,9.71e+18,163845354283.9401,,low,,,NO,NO,PWR,13.44662134251487
292.0,0.09,0.05,1.98,0.011,0.19,0.0,19.13353890837022,11.01689929072727,W,40.0,53,Plotter,BOR,W1,BOR-W1,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,28.50501211118078
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,20.02938377768521,12.21086757144151,P,83.88888888888889,56,Plotter,BRP,P1,BRP-P1,USA Surveillance,USA,1.07e+20,1625053155944.353,,high,,,NO,NO,BWR,59.24981041288414
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,18.17609125905568,10.80169488914176,W,27.22222222222222,59,Plotter,BRP,W1,BRP-W1,USA Surveillance,USA,1.5e+18,63342454646.80247,,low,,,NO,NO,BWR,25.92549115299732
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,19.35602585719312,10.92145439849302,W,68.33333333333333,61,Plotter,BRP,W1,BRP-W1,USA Surveillance,USA,2.27e+19,83455391438.87389,,low,,,NO,NO,BWR,57.82037648804153
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.79239168949825,10.7372825817956,P,65.72222222222221,63,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,6.2e+18,54611308416.48345,,low,-19.33333333333333,,NO,YES,PWR,59.48712028894184
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,19.32221929473392,10.66807665033349,P,92.72222222222221,69,Plotter,BV1,P1,BV1-P1,USA Surveillance,USA,2.1e+19,46566827388.74519,,low,-7.833333333333333,442,YES,YES,PWR,82.61671207561939
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,18.48000694295715,10.90201908997416,W,88.77777777777777,70,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,3.02e+18,79802976492.47421,,low,-54.72222222222222,461,YES,YES,PWR,68.88531527453178
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,18.79239168949825,10.7372825817956,W,91.61111111111111,71,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,6.2e+18,54611308416.48345,,low,-54.72222222222222,461,YES,YES,PWR,83.5849430452999
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.41830129131975,11.14134343400073,P,31.11111111111111,75,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,2.62e+19,138466091662.4387,,low,2.000000000000001,492,YES,YES,PWR,31.643853425573052
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.74663419893758,11.10107957837157,P,58.05555555555556,81,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,5.58e+19,126205876797.0088,,low,4.111111111111111,498,YES,YES,PWR,46.093363787326375
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,19.41830129131975,11.14134343400073,W,14.77777777777778,83,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,2.62e+19,138466091662.4387,,low,-39.88888888888889,507,YES,YES,PWR,36.021100863057626
290.0,0.026,0.71,1.48,0.011,0.57,0.08,19.3541084391474,10.88822209806754,W,28.11111111111111,95,Plotter,BY1,W1,BY1-W1,USA Surveillance,USA,2.26e+19,77307583477.13911,,low,-34.72222222222222,458,YES,YES,PWR,25.915254652124762
289.4444444444445,0.07,0.65,1.18,0.005,0.23,0.18,19.3384564936046,10.90363909095403,F,21.94444444444444,101,Plotter,BY2,F1,BY2-F1,USA Surveillance,USA,2.18e+19,80101212658.8723,,low,-43.88888888888889,445,YES,YES,PWR,32.885194643386875
293.3333333333333,0.03,0.65,1.34,0.01,0.55,0.09,18.6085260335772,11.03417246524929,W,4.833333333333336,102,Plotter,BY2,W1,BY2-W1,USA Surveillance,USA,4.06e+18,108186349121.0792,,low,-57.33333333333334,479,YES,YES,PWR,8.57027213006175
294.4444444444445,0.09,0.845,0.725,0.008,0.292,0.204,19.36361197989214,10.89678965896313,F,25.9,110,Plotter,CB1,F1,CB1-F1,USA Surveillance,USA,2.31e+19,78847814297.62776,,low,,459,YES,NO,PWR,38.92116977168779
294.4444444444445,0.049,0.725,1.85,0.012,0.239,0.059,19.11727129565577,10.92123534596068,W,9.933333333333334,112,Plotter,CB1,W1,CB1-W1,USA Surveillance,USA,1.31e+19,83413308230.38475,,low,,518,YES,NO,PWR,24.061998614946702
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,18.51851393987789,11.08520888169895,P,11.66666666666667,114,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,3.3e+18,121677108774.9106,,low,,479,YES,NO,PWR,18.093824405771358
287.2222222222222,0.12,0.64,1.29,0.011,0.24,0.26,18.69897000433602,10.72159690180681,P,36.55555555555556,123,Plotter,CC1,P1,CC1-P1,USA Surveillance,USA,5e+18,52674073062.73187,,low,-14.33333333333333,487,YES,YES,PWR,34.91631709290653
