temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
291.1111111111111,0.15,0.52,1.32,0.01,0.2,0.21,17.86153441085904,10.38959995032397,P,10.0,7,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,7.27e+17,24524488055.52857,,low,,496,YES,NO,PWR,18.996867053236855
292.2222222222222,0.15,0.52,1.32,0.01,0.2,0.21,19.16435285578444,10.93719246682784,P,29.44444444444444,10,Plotter,AN1,P1,AN1-P1,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,496,YES,NO,PWR,50.2330517318817
292.2222222222222,0.17,0.64,1.478,0.011,0.225,0.217,19.16435285578444,10.93719246682784,SRM,41.66666666666666,17,Plotter,AN1,SRM2,AN1-SRM2,USA Surveillance,USA,1.46e+19,86535133264.10524,,low,,,NO,NO,PWR,62.995507317681245
290.0,0.174,0.665,1.465,0.01,0.186,0.219,19.3324384599156,10.6380089093933,SRM,74.44444444444444,25,Plotter,AN2,SRM1,AN2-SRM1,USA Surveillance,USA,2.15e+19,43451913808.21789,,low,,,NO,NO,PWR,74.59916032965647
290.0,0.045,0.083,1.33,0.004,0.14,0.13,18.4814426285023,10.75474931695326,W,7.333333333333334,26,Plotter,AN2,W1,AN2-W1,USA Surveillance,USA,3.03e+18,56852467284.501,,low,-19.88888888888889,510,YES,YES,PWR,8.06365929664561
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,18.58883172559421,11.01814311135271,F,-0.05555555555555358,40,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,3.88e+18,104266095675.4293,,low,-30.77777777777778,476,YES,YES,PWR,14.531351271647917
288.8888888888889,0.057,0.77,1.38,0.013,0.3,0.24,19.31597034545692,10.8846899738444,F,18.38888888888889,42,Plotter,BD2,F1,BD2-F1,USA Surveillance,USA,2.07e+19,76681389493.4494,,low,-30.77777777777778,476,YES,YES,PWR,32.03392487557132
292.0,0.04,0.85,0.75,0.01,0.32,0.0,19.13353890837022,11.01689929072727,F,18.0,51,Plotter,BOR,F2,BOR-F2,Netherlands Surveillance,NETHERLANDS,1.36e+19,103967904496.3061,,low,,,NO,NO,PWR,14.784727639066126
283.8888888888889,0.05,0.56,1.32,0.01,0.24,0.24,19.41830129131975,11.14134343400073,P,25.83333333333333,78,Plotter,BV2,P1,BV2-P1,USA Surveillance,USA,2.62e+19,138466091662.4387,,low,4.111111111111111,498,YES,YES,PWR,30.695020844897492
283.8888888888889,0.08,0.07,1.17,0.008,0.14,0.1,19.74663419893758,11.10107957837157,W,13.0,85,Plotter,BV2,W1,BV2-W1,USA Surveillance,USA,5.58e+19,126205876797.0088,,low,-39.88888888888889,507,YES,YES,PWR,52.757898884670624
290.0,0.05,0.73,0.69,0.01,0.27,0.21,19.3541084391474,10.88822209806754,F,27.5,89,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,2.26e+19,77307583477.13911,,low,-66.5,497,YES,YES,PWR,22.18337840890095
289.4444444444445,0.05,0.73,0.69,0.01,0.27,0.21,19.17318626841227,10.920796602584,F,30.33333333333334,91,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,1.49e+19,83329082990.8452,,low,-57.27777777777778,479,YES,YES,PWR,18.171947907367244
290.0,0.05,0.73,0.69,0.01,0.27,0.21,19.3541084391474,10.88822209806754,F,16.38888888888889,92,Plotter,BY1,F1,BY1-F1,USA Surveillance,USA,2.26e+19,77307583477.13911,,low,-57.27777777777778,479,YES,YES,PWR,22.18337840890095
289.4444444444445,0.07,0.65,1.18,0.005,0.23,0.18,19.3384564936046,10.90363909095403,F,8.277777777777775,98,Plotter,BY2,F1,BY2-F1,USA Surveillance,USA,2.18e+19,80101212658.8723,,low,-36.16666666666666,441,YES,YES,PWR,32.27673504978858
294.4444444444445,0.09,0.845,0.725,0.008,0.292,0.204,18.46538285144842,11.06894915322261,F,-11.11111111111111,105,Plotter,CB1,F1,CB1-F1,USA Surveillance,USA,2.92e+18,117205813408.345,,low,,475,YES,NO,PWR,18.76274187228643
294.4444444444445,0.049,0.725,1.85,0.012,0.239,0.059,18.46538285144842,11.06894915322261,W,0.0,111,Plotter,CB1,W1,CB1-W1,USA Surveillance,USA,2.92e+18,117205813408.345,,low,,518,YES,NO,PWR,10.59346517371036
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,18.51851393987789,11.08520888169895,P,17.22222222222222,117,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,3.3e+18,121677108774.9106,,low,,462,YES,NO,PWR,16.899112721131164
294.4444444444445,0.081,0.61,1.393,0.012,0.285,0.235,19.35218251811136,10.88770393995589,P,33.39444444444445,119,Plotter,CB2,P1,CB2-P1,USA Surveillance,USA,2.25e+19,77215402557.86832,,low,,462,YES,NO,PWR,35.37118610072302
294.4444444444445,0.042,0.153,1.163,0.008,0.133,0.14,19.35218251811136,10.88770393995589,W,32.23333333333333,122,Plotter,CB2,W1,CB2-W1,USA Surveillance,USA,2.25e+19,77215402557.86832,,low,,510,YES,NO,PWR,21.054059560777496
287.2222222222222,0.12,0.64,1.29,0.011,0.24,0.26,19.28103336724773,10.73495189292818,P,61.72222222222222,124,Plotter,CC1,P1,CC1-P1,USA Surveillance,USA,1.91e+19,54319015864.56535,,low,-14.33333333333333,487,YES,YES,PWR,51.93130414451143
286.6666666666667,0.12,0.64,1.29,0.011,0.24,0.26,19.34242268082221,10.4182449074479,P,54.77777777777778,126,Plotter,CC1,P1,CC1-P1,USA Surveillance,USA,2.2e+19,26196598709.8318,,low,-14.33333333333333,487,YES,YES,PWR,54.90668143872202
287.2222222222222,0.174,0.665,1.465,0.01,0.186,0.219,18.69897000433602,10.72159690180681,SRM,56.11111111111111,128,Plotter,CC1,SRM1,CC1-SRM1,USA Surveillance,USA,5e+18,52674073062.73187,,low,,,NO,NO,PWR,50.68766029982635
287.2222222222222,0.18,0.16,1.05,0.014,0.2,0.15,19.28103336724773,10.73495189292818,W,57.61111111111111,130,Plotter,CC1,W1,CC1-W1,USA Surveillance,USA,1.91e+19,54319015864.56535,,low,-51.83333333333333,515,YES,YES,PWR,52.234385959579896
287.2222222222222,0.133,0.66,1.21,0.005,0.205,0.208,19.29003461136252,10.74356380982559,P,57.22222222222222,134,Plotter,CC2,P1,CC2-P1,USA Surveillance,USA,1.95e+19,55406894595.28758,,low,,454,YES,NO,PWR,53.49998967770407
280.0,0.17,0.64,1.478,0.011,0.225,0.217,18.91960102378411,10.87921517290216,SRM,55.55555555555556,149,Plotter,CK1,SRM2,CK1-SRM2,USA Surveillance,USA,8.31e+18,75720796375.02405,,low,,,NO,NO,PWR,62.38193411887419
282.7777777777778,0.11,0.58,1.285,0.017,0.215,0.215,18.37657695705651,10.84434659463419,P,31.11111111111111,155,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,2.38e+18,69878986038.29602,,low,,,NO,NO,PWR,25.0782437512021
283.3333333333333,0.11,0.58,1.285,0.017,0.215,0.215,19.00860017176192,10.78963426142059,P,50.55555555555556,157,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,1.02e+19,61607595854.1712,,low,,,NO,NO,PWR,40.839683702367864
283.3333333333333,0.11,0.58,1.285,0.017,0.215,0.215,19.00860017176192,10.78963426142059,P,62.22222222222222,161,Plotter,CK2,P1,CK2-P1,USA Surveillance,USA,1.02e+19,61607595854.1712,,low,,462,YES,NO,PWR,40.839683702367864
282.7777777777778,0.053,0.965,1.375,0.02,0.4,0.095,18.37657695705651,10.84434659463419,W,23.33333333333333,163,Plotter,CK2,W1,CK2-W1,USA Surveillance,USA,2.38e+18,69878986038.29602,,low,,526,YES,NO,PWR,14.066818174446594
282.7777777777778,0.053,0.965,1.375,0.02,0.4,0.095,18.82216807936802,10.81550560073682,W,25.0,164,Plotter,CK2,W1,CK2-W1,USA Surveillance,USA,6.64e+18,65389136264.6574,,low,,526,YES,NO,PWR,23.19745571687448
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.07188200730613,10.90097754243504,P,13.94444444444444,168,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,1.18e+19,79611818172.0047,,low,-19.27777777777778,462,YES,YES,PWR,19.76201524408681
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.3654879848909,10.86929499355822,P,9.055555555555557,169,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,2.32e+19,74010782094.90326,,low,-19.27777777777778,462,YES,YES,PWR,27.243738814045486
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.3654879848909,10.86929499355822,P,25.11111111111111,173,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,2.32e+19,74010782094.90326,,low,-27.83333333333333,465,YES,YES,PWR,27.243738814045486
291.6666666666667,0.06,0.55,1.32,0.005,0.22,0.23,19.48855071650044,10.89318167119094,P,17.11111111111111,174,Plotter,CL1,P1,CL1-P1,USA Surveillance,USA,3.08e+19,78195483835.06398,,low,-27.83333333333333,465,YES,YES,PWR,31.262795199580193
265.0,0.087,0.64,1.26,0.017,0.29,0.176,19.33041377334919,10.90602221893891,F,49.0,180,Plotter,F43,F1,F43-F1,France Surveillance,FRANCE,2.14e+19,80541964621.75386,,low,,,NO,NO,PWR,62.84820899044723
262.0,0.087,0.64,1.26,0.017,0.29,0.176,19.82865989653532,11.24038818969299,F,104.1380117854128,182,Plotter,F43,F1,F43-F1,France Surveillance,FRANCE,6.74e+19,173935483870.9677,,high,,,NO,NO,PWR,110.85896571005516
261.1990243840401,0.09,0.65,1.27,0.01,0.31,0.169,19.84154716525655,11.3549750147382,F,110.1667716619761,189,Plotter,F43,F2,F43-F2,France Surveillance,FRANCE,6.943e+19,226451402478.7997,,high,,,NO,NO,PWR,114.13714059681891
262.3380568491908,0.09,0.65,1.27,0.01,0.31,0.169,19.9649663748311,11.35175902272734,F,139.5124975710581,192,Plotter,F43,F2,F43-F2,France Surveillance,FRANCE,9.225e+19,224780701754.386,,high,,,NO,NO,PWR,127.43546988387743
262.9186574027526,0.11,0.095,1.42,0.017,0.51,0.055,19.68124123737559,11.0072992387415,W,73.39188965113698,193,Plotter,F43,W1,F43-W1,France Surveillance,FRANCE,4.8e+19,101694915254.2373,,low,,,NO,NO,PWR,92.41013382890968
255.0,0.11,0.095,1.42,0.017,0.51,0.055,19.07918124604763,11.29172077152921,W,54.39312553782447,194,Plotter,F43,W1,F43-W1,France Surveillance,FRANCE,1.2e+19,195758564437.1941,,low,,,NO,NO,PWR,57.10616989895861
261.1990243840401,0.11,0.095,1.42,0.017,0.51,0.055,19.48869169831694,11.00211954779858,W,65.5486984234681,196,Plotter,F43,W1,F43-W1,France Surveillance,FRANCE,3.081e+19,100489236790.6067,,low,,,NO,NO,PWR,77.66975340216129
293.3333333333333,0.065,0.62,1.36,0.014,0.25,0.22,18.50105926221775,11.04321126296129,P,0.8888888888888893,210,Plotter,CP2,P1,CP2-P1,USA Surveillance,USA,3.17e+18,110461583064.3228,,low,-23.0,462,YES,YES,PWR,13.032941645946355
