y true,y pred
4.967000000000001,6.6134596
7.50075,11.291893
16.89963,15.766817
20.12907,32.45983
53.83403,50.731987
4.967000000000001,9.16322
23.40675,20.650583
32.38307,37.132908
8.52363,5.1042643
23.95772,21.366905
16.89963,18.144756
44.08587,40.254665
28.97675,22.741625
20.12907,22.705408
35.83763,36.8462
42.29628,39.354107
29.54112,25.510204
3.46283,2.1995635
1.47603,3.1376777
3.96288,5.5149484
6.48323,6.934432
8.011519999999999,8.597873
11.62443,10.1607685
16.36608,15.998663
3.96288,2.5307841
4.46427,4.4360404
10.58547,6.539678
9.03708,8.093645
12.14592,9.576829
12.66875,11.532726
1.47603,2.3697715
6.48323,5.207488
8.52363,7.0945253
8.011519999999999,8.390448
7.50075,8.50344
16.36608,14.173103
16.36608,11.234068
20.672,16.481915
12.66875,10.889869
5.97648,7.3886275
9.03708,7.6722054
8.011519999999999,10.6904545
7.50075,7.8937097
41.70243,39.9358
102.663,110.39258
31.812,33.993855
20.12907,19.093248
0.0,5.161502
17.43452,11.466535
203.450201763,176.48221
28.77777777777778,32.05639
61.77777777777778,43.26615
98.856159963,93.205246
45.77777777777778,42.11635
-14.67,6.5606384
-11.0,5.6019874
2.0,7.676309
7.0,5.966994
3.0,8.951387
17.0,6.4972167
12.0,10.156783
7.0,3.5104957
6.0,6.1577425
12.0,6.5411363
5.0,8.245767
2.0,6.104196
6.0,6.9678774
5.0,8.0563755
16.0,9.947897
7.0,8.36012
11.0,5.8510933
28.88888888888889,8.710098
3.888888888888889,9.053457
21.11111111111111,14.276607
18.78333333333333,11.591624
2.594444444444445,11.559348
12.37222222222222,13.919487
-4.444444444444445,3.2517197
2.711111111111112,7.999778
14.66666666666667,18.455399
12.0,12.027609
-4.622222222222223,14.831268
26.97777777777778,38.524147
53.47777777777778,62.7625
-3.87712,-2.6834345
-2.91588,-2.2730336
-1.94928,-1.6114948
-1.46397,4.7723227
-1.46397,-1.1129904
-1.46397,0.07569725
4.967000000000001,2.4359703
-7.66848,0.24008293
-2.43325,2.4319913
-2.91588,1.1821067
0.49067,3.7055964
-5.308929999999999,-1.5610069
3.96288,2.8853562
3.46283,4.4672456
2.96412,1.0153474
-4.833,3.9731853
11.10428,16.10462
